
	4.00	12.00	5.00	4.00	10.00	9.00	0.00
	0.00	12.00	3.00	5.00	9.00	10.00	2.00
	0.00	13.00	2.00	6.00	9.00	8.00	1.00
	3.00	15.00	2.00	7.00	9.00	8.00	1.00
	4.00	15.00	2.00	9.00	10.00	7.00	0.00
	2.00	15.00	1.00	8.00	9.00	6.00	1.00
	2.00	14.00	0.00	9.00	9.00	6.00	1.00
	3.00	14.00	0.00	11.00	10.00	7.00	1.00
	2.00	16.00	-1.00	11.00	11.00	6.00	0.00
	4.00	13.00	-1.00	12.00	12.00	5.00	0.00
	5.00	12.00	-1.00	11.00	12.00	4.00	-1.00
	2.00	15.00	1.00	8.00	11.00	4.00	0.00
	2.00	17.00	2.00	8.00	12.00	5.00	-1.00
	0.00	15.00	3.00	8.00	12.00	6.00	1.00
	-2.00	16.00	1.00	5.00	10.00	5.00	-1.00
	1.00	16.00	2.00	7.00	11.00	7.00	1.00
	0.00	17.00	3.00	6.00	13.00	5.00	0.00
	-1.00	14.00	3.00	7.00	13.00	5.00	0.00
	-1.00	15.00	5.00	7.00	12.00	4.00	-1.00
	1.00	15.00	5.00	8.00	14.00	6.00	2.00
	-1.00	12.00	4.00	8.00	14.00	6.00	0.00
	0.00	12.00	5.00	7.00	14.00	7.00	0.00
	-5.00	15.00	7.00	7.00	14.00	7.00	0.00
	3.00	11.00	5.00	5.00	12.00	7.00	1.00
	1.00	12.00	5.00	6.00	14.00	7.00	0.00
	3.00	13.00	4.00	7.00	13.00	7.00	0.00
	3.00	11.00	4.00	7.00	14.00	8.00	0.00
	1.00	14.00	4.00	7.00	13.00	8.00	1.00
	1.00	14.00	3.00	6.00	12.00	10.00	0.00
	-1.00	15.00	1.00	5.00	11.00	9.00	1.00
	-6.00	13.00	1.00	6.00	12.00	8.00	-1.00
	-2.00	12.00	1.00	6.00	11.00	10.00	-3.00
	3.00	12.00	3.00	6.00	11.00	11.00	-1.00
	1.00	12.00	-1.00	7.00	10.00	10.00	0.00
	-1.00	16.00	0.00	8.00	11.00	10.00	0.00
	-1.00	16.00	-1.00	6.00	10.00	9.00	-1.00
	-2.00	16.00	2.00	7.00	11.00	9.00	3.00
	0.00	15.00	1.00	11.00	10.00	9.00	1.00
	2.00	15.00	0.00	10.00	8.00	10.00	1.00
	-1.00	16.00	-1.00	11.00	7.00	9.00	1.00
	1.00	17.00	0.00	11.00	8.00	9.00	3.00
	1.00	15.00	1.00	11.00	7.00	10.00	1.00
	3.00	15.00	2.00	9.00	7.00	8.00	-4.00
	-1.00	14.00	2.00	10.00	7.00	8.00	-3.00
	-1.00	12.00	1.00	9.00	8.00	8.00	-1.00
	3.00	9.00	0.00	10.00	7.00	8.00	1.00
	3.00	10.00	-1.00	9.00	8.00	8.00	2.00
	1.00	11.00	3.00	9.00	9.00	8.00	3.00
	2.00	12.00	0.00	9.00	7.00	6.00	4.00
	2.00	13.00	2.00	8.00	7.00	6.00	2.00
	1.00	12.00	3.00	11.00	8.00	6.00	1.00
	1.00	14.00	4.00	10.00	8.00	6.00	-2.00
	1.00	13.00	6.00	7.00	7.00	8.00	-7.00
	-1.00	11.00	5.00	5.00	8.00	10.00	-5.00
	-2.00	11.00	6.00	5.00	9.00	9.00	0.00
	0.00	14.00	8.00	6.00	10.00	8.00	2.00
